Student I.D.,Age,Gender,ISiF,Viva_Score,Written_Score,Nqi,Ndiq,LsDp,Education_Level,N_de,P_in,S_Fit,Interview_center,N_at,S_10,S_12,Selection
1199,45,Male,1,18.44633983,264.0229668,2,2,115.9596254,M.Phil,1,Very Good,10,East,1,19.18973021,36.71,Rejected
1200,45,Female,1,8.467375248,255.9189473,3,2,113.1437354,Doctorate,3,Average,8,East,3,31.65362674,36.84,Accepted
1201,46,Male,1,12.53373882,245.1161387,3,1,126.7761331,Graduate,2,Very Good,6,North,2,48.62773864,39.65,Rejected
1202,48,Male,0,16.73775022,238.3038323,3,0,119.3827355,Double graduate,1,Very Good,10,North,1,44.97412871,10.44,Rejected
1203,46,Male,1,18.71136784,239.9895241,0,0,115.0505636,Masters,1,Very Good,7,North,1,53.14299939,45.5,Rejected
1204,41,Male,1,20.58035691,259.5791343,3,1,100.8793584,Graduate,2,Average,8,West,3,35.75682893,27.25,Rejected
1205,47,Female,0,18.48843436,245.0019711,3,0,108.7501058,Double graduate,2,Very Good,8,East,2,41.65678366,53.41,Accepted
1206,42,Male,3,22.06298653,233.8349813,1,2,115.9178327,M.Phil,1,Very Good,6,East,1,52.810829,41.39,Rejected
1207,40,Female,3,9.509949042,247.9600747,2,1,111.1259945,M.Phil,2,Very Good,10,East,2,12.74752387,29.67,Rejected
1208,42,Male,3,8.095764988,249.2082283,3,1,114.6700975,Double Masters,2,Very Good,9,East,1,26.51944183,52.72,Rejected
1209,45,Male,1,11.1953011,248.1664147,1,2,107.7422365,Double Masters,3,Average,11,East,4,47.14958143,52.38,Rejected
1210,38,Female,0,13.55237718,250.383751,3,0,109.7994643,Double graduate,2,Average,12,East,2,49.84223062,28.26,Rejected
1211,45,Male,1,16.68787651,250.5242616,3,2,105.9500509,Double Masters,2,Very Good,7,North,4,55.41028966,30.4,Rejected
1212,41,Female,0,15.99415097,241.2383091,3,1,109.0578299,Graduate,3,Poor,13,South,3,48.175545,31.92,Accepted
1213,47,Male,3,9.545381344,247.8189392,3,0,114.9301382,Masters,2,Very Good,11,North,2,59.27747512,24.28,Rejected
1214,39,Male,2,19.85514157,245.2182543,0,1,112.7310911,Double Masters,3,Average,6,North,3,39.44241422,59.75,Rejected
1215,45,Male,2,8.748710299,265.3294522,3,2,104.4534845,Double graduate,2,Very Good,9,North,3,26.30492483,29.87,Accepted
1217,47,Female,0,9.744231254,250.5162865,3,2,126.2285427,Double graduate,1,Very Good,11,North,2,69.98132922,59.05,Rejected
1218,47,Male,0,16.1266363,230.9792603,1,1,107.9158853,Double graduate,1,Average,8,West,1,44.17882653,66.55,Rejected
